Term [en],Description [en],Part of Speech [en],Status [en],Type [en],Gender [en],Note [en],Url [en],Term [be],Description [be],Part of Speech [be],Status [be],Type [be],Gender [be],Note [be],Url [be],Term [pl],Description [pl],Part of Speech [pl],Status [pl],Type [pl],Gender [pl],Note [pl],Url [pl],Term [ru],Description [ru],Part of Speech [ru],Status [ru],Type [ru],Gender [ru],Note [ru],Url [ru],Term [uk],Description [uk],Part of Speech [uk],Status [uk],Type [uk],Gender [uk],Note [uk],Url [uk],Concept Definition,Concept Subject,Concept Note,Concept Url,Concept Figure,Translatable
Whitebeards,,,,,,,,Белабародыя,,,,,,Valheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Redbeards,,,,,,,,Рудабародыя,,,,,,Valheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Extractor,,,,,,,,здабывальнік,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Dress,,,,,,,,сукенка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Grausten,,,,,,,,Граўстэн,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Column,,,,,,,,калона,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Pillar,,,,,,,,калона,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Workbench,,,,,,,,варштат,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
herbalist,,,,,,,,зельнік,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
ward,,,,,,,,абярэг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Norseman,,,,,,,,нарман,,,,,,Valheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Spell,,,,,,,,чары,"Так, у множным ліку",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Lucy,,,,,,,,Люсі,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Fence,,,,,,,,плот,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Gate,,,,,,,,брама,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Merm,,,,,,,,мэрм,Агрэсіўная істота,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Plot,,,,,,,,дзялянка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Beefalo,,,,,,,,зуброн,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Resurrect,,,,,,,,уваскрэсіць,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Batilisk,,,,,,,,кажаліск,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Wing,,,,,,,,Крыло,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Maxwell,,,,,,,,Максвэл,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Nightberry,,,,,,,,начаніцы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Sentrypede,,,,,,,,вартаножка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Gloomthorn,,,,,,,,цемрацерне,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Antlion,,,,,,,,муралеў,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Blue Cap,,,,,,,,Блакітная шапка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Forget-Me-Lots,,,,,,,,забудка,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Eyebrella,,,,,,,,вокасон,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Chop,,,,,,,,сячы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Twigs,,,,,,,,галінкі,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Boulder,,,,,,,,валун,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Stone Fruit,,,,,,,,Камняплод,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Cookpot,,,,,,,,Кацялок,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Burger,,,,,,,,бургер,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Skewer,,,,,,,,шашлык,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Slurper,,,,,,,,Хлябтач,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Robe,,,,,,,,убранне,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Asparagus,,,,,,,,спаржа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Bunnyman,,,,,,,,Зайцалюд,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Clockwork,,,,,,,,Завадны,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Gnaw,,,,,,,,Пашча,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Mumsy,,,,,,,,Мамуля,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Enlightening,,,,,,,,прасвятленне,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Celestial Champion,,,,,,,,выбранец нябёс,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Snurtle,,,,,,,,слімаха,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Grumble Bee,,,,,,,,бурчмель,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Fur,,,,,,,,футра,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
No-Eyed Deer,,,,,,,,бязвокі алень,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Varg,,,,,,,,Варг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Pengull,,,,,,,,пінчайка,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Koalefant,,,,,,,,Кааласлон,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Deerclops,,,,,,,,цыклопалень,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
sanity,,,,,,,,свядомасць,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Suspicious Peeper,,,,,,,,Падазроны назірач,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Gnarwail,,,,,,,,Нірвал,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Wee MacTusk,,,,,,,,МакБівеньчык,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Eyeplant,,,,,,,,Вокацвет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Frame Rate,,,,,,,,Частата кадраў,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Roasted,,,,,,,,Запечаны,Запечаны (DST),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Bernie,,,,,,,,Барні,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Swineclops,,,,,,,,свінаклоп,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Board,,,,,,,,дошка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Birchnut,,,,,,,,Каштанабяроз,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Bishop,,,,,,,,Слон,Калі шахматная фігура,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Dart,,,,,,,,Дроцік,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Snortoise,,,,,,,,Храпаха,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Frostjaw,,,,,,,,Сцюжасківец,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Twins of Terror,,,,,,,,Блізняты жаху,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Moonblind Crow,,,,,,,,Месячная варона,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Grass Gator,,,,,,,,Травадзіл,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Rockjaw,,,,,,,,Скаласківец,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Retinazor,,,,,,,,Рэтынайзар,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Wilson,,,,,,,,Вілсан,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Walter,,,,,,,,Волтэр,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Wurt,,,,,,,,Вурт,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Wormwood,,,,,,,,Вормвуд,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Wanda,,,,,,,,Ванда,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Wonkey,,,,,,,,Ванкі,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Willow,,,,,,,,Віллаў,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Wolfgang,,,,,,,,Вольфґанґ,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Wendy,,,,,,,,Вэндзі,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
WX-78,,,,,,,,WX-78,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Wickerbottom,,,,,,,,Вікерботам,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Woodie,,,,,,,,Вудзі,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Wes,,,,,,,,Вэс,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Wagstaff,,,,,,,,Ваґстаф,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Wigfrid,,,,,,,,Віґфрыд,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Webber,,,,,,,,Вэбэр,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Walani,,,,,,,,Валані,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Warly,,,,,,,,Ворлі,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Wilbur,,,,,,,,Вілбур,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Woodlegs,,,,,,,,Вудлэґс,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Wilba,,,,,,,,Вілба,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Kittykit,,,,,,,,Коця-моця,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Vargling,,,,,,,,Вaрганя,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Ewelet,,,,,,,,Сліз-ягня,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Red Bird,,,,,,,,Чырвоная птушка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Snowbird,,,,,,,,Снежная птушка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Parrot,,,,,,,,Папугай,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Seagull,,,,,,,,Чайка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Toucan,,,,,,,,Тукан,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Cormorant,,,,,,,,Баклан,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Kingfisher,,,,,,,,Зімародак,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Pigeon,,,,,,,,Голуб,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Canary,,,,,,,,Канарэйка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Puffin,,,,,,,,Тупік,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Sea Hound,,,,,,,,Марскі ганчак,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Seal,,,,,,,,Цюлень,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Dung Beetle,,,,,,,,Гнаявік,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Elder Mandrake,,,,,,,,Старамандрагора,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Lunar Wobster,,,,,,,,Месячны вамар,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Snaptooth Seedling,,,,,,,,Пасынак зубашчоўка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Sea Strider,,,,,,,,Вадацуга,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Eye of Terror,,,,,,,,Вока жаху,,,,,,Dont Starve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Broodling,,,,,,,,Вылупак,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Giblet,,,,,,,,Індычаня,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Crow,,,,,,,,Варона,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Friendly Peeper,,,,,,,,Прыязны назірач,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Deerclop,,,,,,,,Цыклопалень,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Depths Worm,,,,,,,,Глыбінны чарвяк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Ewecus,,,,,,,,Слізаўца,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Frog,,,,,,,,Жаба,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Fireflies,,,,,,,,Светлякі,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Gobbler,,,,,,,,Індык,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Hound,,,,,,,,Ганчак,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Red Hound,,,,,,,,Чырвоны ганчак,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Blue Hound,,,,,,,,Сіні ганчак,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Houndius Shootius,,,,,,,,Ганчакус-Стралякус,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Winter Koalefant,,,,,,,,Зімовы кааласлон,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Krampus,,,,,,,,Крампус,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
MacTusk,,,,,,,,Мак-Бівень,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Gestalt,,,,,,,,кшталт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Crawling Nightmare,,,,,,,,Паўзучы кашмар,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Crab Knight,,,,,,,,Краб-рыцар,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Crab Guard,,,,,,,,Краб-вартаўнік,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Kitcoon,,,,,,,,Кацянот,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Naked Mole Bat,,,,,,,,Голы кажан-землякоп,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Lord of the Fruit Flies,,,,,,,,Валадар пладовых мух,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Fruit Fly,,,,,,,,Пладовая муха,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Friendly Fruit Fly,,,,,,,,Прыязная пладовая муха,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Grainy Transmission,,,,,,,,Зярністая перадача,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Misshapen Bird,,,,,,,,Дэфармаваная птушка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Dust Moth,,,,,,,,Пыльны матыль,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Woby,,,,,,,,Вобі,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Klaus,,,,,,,,Клаўс,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Gem Deer,,,,,,,,Самацветны алень,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Grass Gekko,,,,,,,,Травяны гекон,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Horror Hound,,,,,,,,Пачварны ганчак,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Hutch,,,,,,,,Хатч,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Lavae,,,,,,,,Лавалярва,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Malbatross,,,,,,,,Мальбатрос,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Moonrock Pengull,,,,,,,,Месячная пінчайка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Saladmander,,,,,,,,Салатмандра,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Shattered Spider,,,,,,,,Друзгавук,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Toadstool,,,,,,,,Паганкажаб,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Misery Toadstool,,,,,,,,Паганкажаб-пакутнік,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Shadow Bishop,,,,,,,,Ценявы слон,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Shadow Knight,,,,,,,,Ценявы конь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Shadow Rook,,,,,,,,Ценявая тура,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Reanimated Skeleton,,,,,,,,Узняты шкілет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Ancient Fuelweaver,,,,,,,,Старадаўні паліваткач,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Woven Shadow,,,,,,,,Сатканы цень,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Moon Moth,,,,,,,,Месячны матыль,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Loyal Merm Guard,,,,,,,,Верны вартавы мэрм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Pipspook,,,,,,,,Прывіскун,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Skittersquid,,,,,,,,Шпаркальмар,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Crabby Hermit,,,,,,,,Пустэльная крабіха,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Mothling,,,,,,,,Мятлік,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Teen Beefalo,,,,,,,,Зуброн-юнак,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Toddler Beefalo,,,,,,,,Зуброн-падлетак,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Baby Beefalo,,,,,,,,Зубронаня,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Beardlord,,,,,,,,Зайцабарод,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Chester,,,,,,,,Чэстар,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Marotter,,,,,,,,Выдразбойнік,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Moleworm,,,,,,,,Кротарвяк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Moose/Goose,,,,,,,,Лось/Гусь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Mosling,,,,,,,,Лосегусяня,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Poison Birchnut Tree,,,,,,,,Ядавіты бярозавы каштан,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Birchnutter,,,,,,,,Каштанабярозавік,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Volt Goat,,,,,,,,Вольтказа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Charged Volt Goat,,,,,,,,Зараджаная вольтказа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Blue Whale,,,,,,,,Сіні кіт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Bottlenose Ballphin,,,,,,,,Пляшканосая афаліна,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Crabbit,,,,,,,,Крусік,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Crocodog,,,,,,,,Кракапёс,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Blue Crocodog,,,,,,,,Сіні кракапёс,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Yellow Crocodog,,,,,,,,Жоўты кракапёс,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Dogfish,,,,,,,,Рыбапёс,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Doydoy,,,,,,,,Дадо,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Teen Doydoy,,,,,,,,Дадо-падлетак,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Baby Doydoy,,,,,,,,Даданя,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Dragoon,,,,,,,,Драгун,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Fishermerm,,,,,,,,Мэрм-рыбалка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Floaty Boaty Knight,,,,,,,,Вадаплаўны конь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Flup,,,,,,,,Флап,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Jellyfish,,,,,,,,Медуза,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Packim Baggims,,,,,,,,Пакаваннік-Чамаданнік,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Palm Treeguard,,,,,,,,Пальмавы гаюн,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Poison Snake,,,,,,,,Ядавітая змяюка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Poison Mosquito,,,,,,,,Ядавіты камар,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Prime Ape,,,,,,,,Крыўлят,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Quacken,,,,,,,,Кра-кракен,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Quacken Tentacle,,,,,,,,Кра-кракенава шчупальца,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Rainbow Jellyfish,,,,,,,,Вясёлкавая медуза,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Pog,,,,,,,,Вялікавух,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Poison Dartfrog,,,,,,,,Ядавітая кідкажабка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Pugalisk,,,,,,,,Кірпаніск,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Queen Womant,,,,,,,,Каралева-мурчына,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Ro Bin,,,,,,,,Смет-Нік,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Scorpion,,,,,,,,Скарпіён,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Snaptooth,,,,,,,,Зубашчоўк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Snaptooth Flytrap,,,,,,,,Зубашчоўк-мухалоў,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Spider Monkey,,,,,,,,Малпавук,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Thunderbird,,,,,,,,Гром-птушка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Vampire Bat,,,,,,,,Кажан-вампір,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Viper,,,,,,,,Гадзюка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Weevole,,,,,,,,Палявы даўганосік,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Bee Queen,,,,,,,,Пчаліная каралева,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Carrat,,,,,,,,Морквацук,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Crab King,,,,,,,,кароль крабаў,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Cookie Cutter,,,,,,,,Печыварэз,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
